text,label
[Czechia 1-1 South Africa] Schick waves off the referee and walks away; Mokoena reacts in disbelief,media
Heung-min Son announces he will be leaving Tottenham,media
Arda Guler slips while trying to kick bottle at full-time whistle,media
Thierry Henry and Zlatan having a kick about backstage in the studio,media
Marquinhos comforts his international teammate Gabriel after his penalty miss,media
Glasners slide after Conference League victory,media
Al Nassr [4] - 1 Al Khaleej (Cristiano Ronaldo) - 90+ 5,media
Son Heung-min speaks for the UN World Food Programme calling for donations to support starved Palestinians,media
"Zlatan Ibrahimović on Messi's World Cup: “Five goals in 2 games...I have zero goals in two World Cups, so, I'm happy for him and I hope he continues, his birthday is in a couple of days so let him enjoy, because we're all enjoying him by seeing him play so, amazing, just amazing, no words.""",media
Alternate angle of Alvaro Carrera's goal against Valencia,media
Scenes as Non league side Macclesfield defeat Crystal Palace in the FA Cup,media
Fans in the stadium boo as the US anthem gets played in the CWC Final,media
Wolves TV's highlight reel of Arsenal's timewasting: 'Game management',media
[Official] Spain 0-0 Cabo Verde is the first goalless draw of FIFA World Cup 2026,media
Ronaldo Nazário: “It’s time for the world to stop hiding and accept the fact that Messi is the greatest of all time.”,media
Alternative angle of Nico Williams' goal vs. Levante,media
Referee awards Arsenal a corner kick in stoppage time but then blows the whistle for halftime after Arsenal takes too long to take it,media
"Mason Greenwood Kicks, Spits on Amadou Onana. Tyrone Mings intervenes",media
[BBC Scotland] reaction to [4]-2 K. McLean 90+7,goal_clip
"Trump: When you look at football in the US, soccer in the US, we seem to never call it that because we have a little bit of a conflict with another thing that's called football. But when you think about it, shouldn't it really be called football? We have to come up with another name for the NFL",media
Wayne Rooney recreates his bicycle kick against Man City on TV show a league of their own,media
"Thierry Henry in his post-match analysis about Ronaldo after Portugal's game vs DR Congo: ""The team needs to score, not you need to score""",media
Full video of Chelsea players huddling around the referee before kick off,media
"[Stretford Paddock via twitter] Billboard outside Old Trafford today: ""Immigrants have done more for this city than billionaire tax dodgers ever will""",goal_clip
Koulibaly nudges Mlinkovic-Savic to give Ruben Neves support during the minute of silence,media
Fan reaction after Al Hilal score their fourth and winning goal vs City.,media
Fifa President Gianni Infantino asks the Palestinian federation president to shake the hand with the Israeli counterpart. Palestinian side categorically rejected and leaves.,media
[Mo Salah] Announces that he will be leaving Liverpool at the end of the season,media
"Thierry Henry on Mo Salah: ""I had problems with Wenger &amp; Guardiola… Did I talk about it publicly? NEVER. No matter what’s happening internally, you protect the club — your teammates, the manager, the staff. You don’t air dirty laundry in public, especially when the club is going through bad moments""",media
Kansas City honors Lionel Messi after World Cup hat trick,media
Messi tried to punch Vitinha,media
Messi can't contain himself as the Argentinian crowd chants his name,media
"Turkey have been knocked out of the World Cup following their loss to Paraguay. They still have one match left against the USA, but their qualification hopes are officially gone.",media
Australia [1] - 0 Turkiye - Nystrom Irankunda 27',goal_clip
Pep and cameraman 1v1,media
Cristiano Ronaldo cries happy tears after winning the league with Al Nassr after 3 trophyless years,media
Alternate angle of Federico Valverde dribbling past Guehi by dinking the ball over his head for his hattrick goal against Manchester City.,media
Ireland fans reacting to Ronaldo red card,goal_clip
Manchester City have been eliminated from the FIFA Club World Cup after losing 4-3 to Al Hilal.,media
[Golazo] A really honest and vulnerable moment moment between Henry and Micah,media
"[@Welt] Interviewer: ""Real Madrid are very very angry (about Camavinga's red card).. ""

Harry Kane: ""I'm sure they are, but they got many things go their way over the years, so...""",media
Liverpool coach held up by Palace fan tying his shoelaces,media
Manchester City's top scorers this season in the Premier League,stats
Chelsea [1]-3 Nottingham Forest - João Pedro 90+3,goal_clip
Kinsky is subbed off for Vicario after Tottenham go 3-0 down after 17 minutes,media
Grimsby Town official account announces today's lineup vs Bristol Rovers,media
[Record] Liverpool will pay the remaining 2 years of Diogo Jota's contract to his family,media
Referee wastes no time at the VAR screen when checking red card in Chelsea vs Ajax match,media
Sunderland haven't included Newcastle on the scoreboard for their Wear-Tyne derby this afternoon... opting to refer to their rivals as just 'visitors',media
Greenwood gets bodychecked by Haraldsson during OM - LOSC,goal_clip
"Brazilian fans chanted “Hey, Trump, Go Fuck Yourself” during the American anthem in yesterday's match between Brazil vs USA",media
Esteban Andrade [Zaragoza GK] reaction after being shown a red card,media
Cape Verde players reactions after securing their first ever World Cup point against Spain,media
Cristiano Ronaldo shouts at camera “IM BACK” after post game,media
Boston police officer showing off his skill,media
Alternate angles of Giovanni Reyna's goal against Paraguay,media
"Australian midfielder Jackson Irvine on new red card rule for covering your mouth ""If you're saying something to someone that you don't want to be seen, I think it's safe to say it shouldn't be said.""",media
Curacao coach Dick Advocaat drying his tears moments before kickoff against Germany,media
[ESPN FC] DR Congo has earned their first-ever World Cup point with their draw vs. Portugal,stats
Argentina [2] - 0 Austria - Lionel Messi 90+4',goal_clip
Refcam angle of Lionel Messi's goal against Algeria,media
[ESPN FC] History for Curaçao as they earn their first-ever World Cup point! What a moment for the smallest country to EVER qualify for the World Cup,stats
[Liverpool FC] have parted ways with Arne Slot,media
Uruguay 0 - [1] Cape Verde - Kevin Pina 21',goal_clip
Argentina [1] - 0 Austria - L. Messi 38',goal_clip
"Somali referee Omar Abdulkadir Artan chosen by FIFA for World Cup has been denied entry to the USA, he was elected as best Africa referee by CAF in 2025",media
Argentina [1] - 0 Algeria - L. Messi 17',goal_clip
"US player Folarin Balogun who scored two goals today, became a US citizen by accident when the airline refused to fly his mom back to England while she was pregnant with him",media
10 men and a statue: Portugal are sacrificing another World Cup for Cristiano Ronaldo’s ego,media
Netherlands fans before their match vs Japan in Dallas,media
Bruno Fernandes' reaction to Cristiano Ronaldo's missed chance,media
"FIFA's World Cup 'hydration breaks' are a money-grabbing disgrace: Gianni Infantino is selling football's soul to broadcasters - and fans are paying the price, writes RIATH AL-SAMARRAI",media
Cape Verde’s Vozinha says U.S. visa issues stopped mom witnessing World Cup heroics,media
Ronaldinho nails the McDonalds challenge with Yamal on his very first try.,media
Nathan Saliba holds up Ismael Kone’s shirt after scoring,media
"Norway's Erling Haaland is the first player to score twice on their World Cup debut since... Elijah Just for New Zealand on Monday, who was the first player to achieve the feat since... Yasin Ayari for Sweden on Sunday, who was the the first to do so since... Folarin Balogun for the U.S. on Friday.",stats
Iran forced to leave US immediately after World Cup draw with New Zealand,media
Alternate angle of Cucho Hernandez assist for Jaminton Campaz goal against Uzbekistan,media
[The Athletic] Thomas Partey will play no part in Ghana’s first World Cup game in Toronto as he has been denied entry to Canada.,media
"Japanese fans stayed behind to clean up after the match vs Netherlands, with help from Jameis Winston",media
"The South Korean fans couldn't bring the tequila bottle inside the stadium, so they started drinking it all together outside and also invited the Mexican fans to join them.",media
[BBC Sport] BBC crossed live to Cape Verde at the very moment they scored their first ever World Cup goal to take the lead over Uruguay. Absolute scenes.,media
FIFA president Gianni Infantino taking a corner kick at a promotional event match.,media
"Australian VAR supervisor, Shaun Evans, hand gesture before the match between Germany and Curaçao",media
Glasner pictured with all the trophies he won at Crystal Palace,media
[Official] Paris Saint-Germain FC wins the 2025/26 UEFA Champions League.,media
Madibo's reaction after seeing Ismael Kone's injury,media
[Ornstein] Jose Mourinho signs contract as new Real Madrid head coach,media
"Rebecca Lowe: ""Chaps, Alexi [Lalas] left us"" Zlatan: ""America, you're welcome""",media
BBC 3D’s rendering of Australia’s Aiden O’Neill treating the referee for cramp,media
Arsenal completed less than 200 passes in 120 minute match in UCL final,stats
Christian Eriksen just collapsed on the field in a match against Ukraine,media
[WC2026 Matchday 1] All Goals with Scoring Nation Commentary,media
"The Somali referee Omar Abdulkadir Artan was interrogated and jailed in Miami, then sent back home because he has the same name as one of the leaders of the terrorist group Al Shabab",media
Argentina fan in the stands today,media
USA [4] - 1 Paraguay - G. Reyna 90+8',goal_clip
"[Nicolo Schira] Luka Modrić has reportedly decided to retire from professional football after the 2026 FIFA World Cup. The midfielder was deeply disappointed by AC Milan missing out on European competitions, and after several days of reflection, decided it was time to conclude his historic career",media
Japanese fans celebrating Daichi Kamada's late equalizer against Netherlands at the Shibuya crossing in Tokyo.,media
"[Marca] For the first time, the Spanish team will go to World Cup without a player from the Real Madrid. Never before, in the 16 World Cups that Spain has attended, there had been this total absence of Real Madrid on the expedition.",media
Referee Felix Zwayer down with muscle cramps 90'+3',media
Messi nets hat trick ties Klose record with 16th World Cup goal,stats
England and Croatia fans both boo as the referee blows for the first hydration break.,media
This Japanese fan is having the time of his life with the Netherlands supporters,media
"Cristiano Ronaldo becomes the first player to score a goal in six different FIFA World Cup editions (2006, 2010, 2014, 2018, 2022 &amp; 2026).",stats
"According to The Athletic, FOX didn't just annoy fans but also broke FIFA rules during the hydration breaks. Boadcasters were told the ad break shouldn’t start within 20 seconds of the referee’s whistle pausing play, and that they should return to the match feed at least 30 seconds before play.",media
Portugal [1] - 0 Uzbekistan - Cristiano Ronaldo goal 6',goal_clip
Mexican trade group leader fired after racist gesture during World Cup match,media
Rayo goalkeeper Batalla stops play after noticing a medical emergency in the crowd during the ECL final,media
"Curaçao manager Dick Advocaat (78) in tears after helping Curaçao, the smallest nation to ever make the World Cup, earn a point against Ecuador. He is the oldest manager in World Cup history by four years. This is Advocaat’s 27th managerial stint, not counting repeats",media
"Achraf Hakimi will be prosecuted for rape charges, French court ruled",media
"Lionel Messi becomes the all time leading goalscorer in FIFA World Cup history (17), surpassing his joint record with Miroslav Klose of 16 goals.",stats
Van Dijk isn’t a fan of the hydration breaks and has called for some reflection on whether they’re really necessary.,media
Mert Mulder in tears at full-time as Turkey are eliminated from the World Cup after back-to-back defeats,media
Cape Verde's goalkeeper Vozinha and his FT stats,stats
A group of DR Congo fans celebrate Wissa’s goal at a Lisbon fan zone,media
France [3]-1 Senegal - Kylian Mbappe 90+6',goal_clip
[WC2026 Day 3] All Goals with Scoring Nation Commentary,media
Alternate angles of Sead Kolasinac's goal line clearance against Canada,media
French NT making a young mascot's day,media
Scenes after full time whistle as the match between Uruguay and Cape Verde ends in a 2-2 draw,media
Uruguay 2 - [2] Cape Verde - Hélio Varela 61',goal_clip
Thomas Tuchel perplexed by the close proximity of the photographers to their bench before the national anthems,media
Anthony Gordon becomes an FC Barcelona player,media
"The Athletic on Alexi Lalas: He is one of the most insufferable analysts in American TV sports history. And while he was one of the best all-time U.S. defenders, his credentials are paltry compared with those of Zlatan and Henry.",media
"Pochettino on style of play development in US soccer: ""If you start an MLS club and three months later you haven’t won any matches and you’re at the bottom, what’s the consequence if there are no promotions, relegations, or international competition? American sport rewards losers.""",media
Portugal 1 - [1] D.R. Congo - Wissa Y. goal 49',goal_clip
[UEFA] Crystal Palace win the UEFA Conference League,media
The only two coaches who have won Trebles with 2 different teams.,stats
Mexico has secured 1st place in Group A of the 2026 World Cup and has qualified for the Round of 32,media
Portugal [3] - 0 Uzbekistan - Cristiano Ronaldo 39',goal_clip
"Mbappé: ""My thoughts on hydration breaks? Don't ask us players for our opinion, we're very reactionary.",media
Germany [2] - 1 Ivory Coast - D. Undav 90+3',goal_clip
A FIFA staff member holding the Czech Republic flag got caught in the huge flag while the others were rolling it up.,media
Japan's coach takes a selfie with Harry Kane,media
DR Congo fans chanting “MESSI! MESSI! MESSI!” in front of Cristiano Ronaldo,media
Thierry Henry's reaction to Zlatan calling Alexi Lalas ignorant,media
"(Süddeutsche) Miroslav Klose on Lionel Messi breaking his World Cup scoring record: ""I've always said that Messi isn't half bad. For me, he's the best footballer of all time. Congrats, champion!""",media
"15 - Curaçao's Eloy Room recorded 15 saves against Ecuador, the most on record (since 1966) by any goalkeeper in a FIFA World Cup match that did not feature extra-time.

Wave.",stats
Czechia coach Miroslav Koubek telling the cameraman to back off,media
Messi’s touch in slow motion for his second goal,media
"Egypt's 3-1 win over New Zealand is their first-ever victory at a FIFA World Cup, 92 years on since their first match at the tournament in 1934.",media
"[Fabrizio Romano] Arda Güler: “We want to apologize, we feel ashamed. We all play for top clubs and we should do way better on this competition”.

“In two games, we scored zero goals and it’s not acceptable”.",media
Lionel Messi penalty miss against Austria 8',media
"Dutch King on sitting next to Gianni Infantino: ""I gave him some peace prize suggestions""",media
Ecuador and Curacao players praying together and hugging after the match,media
Joe Hart suggests that the World Cup match ball could be influencing some of the goalkeepers' mistakes,media
Djed Spence avoids shaking Thomas Partey’s hand,media
Schmeichel blasts Martínez: ‘He’s wasting Portugal just like he wasted Belgium.,media
"Erling Haaland: ""I couldn't care too much about playing [France]. ... They're probably going to win against us, they're probably going to win the whole tournament.""",media
Alternate angles of Alireza Beiranvand's incredible save against Belgium 59',media
England 2 - [2] Croatia - P. Musa 45+5',goal_clip
The Saudi national team also cleaned up their locker room after the match vs. Uruguay this morning.,media
Egypt's Mo Salah singing and dancing in the streets of Vancouver with fans and fellow teammates.,media
Peter Schmeichel says Messi's goal shouldn't have stood because of a foul in the build up of the goal,media
Harry Maguire selling World Cup sticker packs at a Panini store in New York,media
"[BBC] following the 3-2 win over Senegal, Norway confirm their place in the knockouts for the first time since 1998",stats
Reportedly 400 000 fans celebrated Mexico victory agains South Korea at the Angel de la Independencia in Mexico City,media
Ivan Perisic great leapfrog celebration after Croatia equalizer against England,media
"Frenkie de Jong ""Many people don't understand anything about football. They watch it, but they don't understand it. I hear people say I don't play through balls, but that's not true. They're simply not paying attention to the game.""",media
Haiti becomes the first team to be eliminated from the World Cup after a 3-0 loss to Brazil / Their journey will end with one final match against Morocco.,media
England [4] - 2 Croatia - Marcus Rashford 85',goal_clip
[CBS Sports Golazo] Netherlands are the first nation in World Cup history to score over 100 goals but never win the competition.,stats
Japan disallowed goal vs Tunisia,media
"The FIFA World Cup, captured on 1950s film",media
Jesse Marsch celebration,media
USA [2] - 0 Australia - Alexander Freeman 43',goal_clip
Alternate angles of Kevin Lenini's goal against Uruguay,media
[Reuters] Iran leave note of thanks in LA locker room after draw with Belgium,media
Moise Bombito went to visit Ismael Kone after the Canada Match at the hospital before his surgery for the fractured tib and fib,media
France [1] - 0 Iraq - K. Mbappé 14',goal_clip
"Erling Haaland: ""Tom Holland DM'd me and invited me for dinner during F1 in Monaco. I didn't bother to answer. I had no idea who he was and didn't want to answer a random unknown person""",media
Lopetegui and Marsch having a quarrel,media
"Messi on moving level as the joint all-time top scorer in World Cup history: ""It’s an honour, obviously, to be there because of what it means to be alongside Klose, and Ronaldo is there as well, and Mbappe scored two today. But in the end it is statistics and nothing more""",media
Tunisia's World Cup qualification group,media
"[RMC Sport]: Didier Deschamps has departed from the French squad in the US after the FFF announced his mother's death, missing the 26 June 2026 World Cup Group I match against Norway in Boston.",media
"[Marcelo] “This is a red card, but because it's Messi there's nothing [no card]”",media
"With Paraguay's 1-0 win against Türkiye, USA clinches first place in Group D, and Türkiye is eliminated.",media
[ESPN FC] The longest time EVER between a player's first and latest World Cup goal: Ronaldo: 20 years and 11 days; Messi: 20 years and 11 days.,stats
Another angle of Ezri Konsa’s tackle for England in the box 79’. No foul was called in the 0-0 draw,media
"Cape Verde goalkeeper Vozinha’s mother granted US visa, will attend match in Miami",media
"After the United States 2-0 win over Australia yesterday, Mauricio Pochettino is now tied for the most World Cup wins as USMNT manager after only two matches",stats
"Julián Álvarez: “This isn’t the time to talk about this, but I can’t hide either; I try to be an honest person. I spoke with the people at Atlético Madrid, and I think the best thing for everyone is a transfer. I want to fulfill my dream.”",media
Loud boos in the match between England and Ghana as the referee blows for the first hydration break,media
Miguel Almirón red card against Türkiye 45+3',media
"Hydration breaks at World Cup add nothing but take away a lot , Says Bielsa",media
Anthony Elanga skill against Netherlands 68',media
Germany 0 - [1] Ivory Coast - Kessie F. goal 29',goal_clip
